Наименование способа доставки  , Номер заказа, Дата создания заказа, Условия, Продажи руб, ASP  , UPT
Самовывоз из пункта выдачи     ,     10451136, 10/1/2022           , old    , 2 879      , 2 879, "  1,0   "
Самовывоз из пункта выдачи     ,     10451147, 10/1/2022           , old    , 1 482      , 494  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451155, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
Самовывоз из пункта выдачи     ,     10451157, 10/1/2022           , old    , 2 448      , 816  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451164, 10/1/2022           , old    , 1 007      , 336  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451166, 10/1/2022           , old    , 6 798      , 3 399, "  2,0   "
Самовывоз из пункта выдачи     ,     10451166, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз из пункта выдачи     ,     10451175, 10/1/2022           , old    , 1 758      , 879  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451176, 10/1/2022           , old    , 2 798      , 1 399, "  2,0   "
Самовывоз из пункта выдачи     ,     10451177, 10/1/2022           , old    , 1 156      , 289  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451185, 10/1/2022           , old    , 2 158      , 1 079, "  2,0   "
Самовывоз из пункта выдачи     ,     10451194, 10/1/2022           , old    , 858        , 286  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451205, 10/1/2022           , old    , 3 599      , 3 599, "  1,0   "
Самовывоз из пункта выдачи     ,     10451205, 10/1/2022           , old    , 3 599      , 3 599, "  1,0   "
Самовывоз из пункта выдачи     ,     10451206, 10/1/2022           , old    , 1 806      , 452  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451207, 10/1/2022           , old    , 858        , 429  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451224, 10/1/2022           , old    , 1 158      , 579  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451226, 10/1/2022           , old    , 2 247      , 749  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451226, 10/1/2022           , old    , 5 096      , 1 274, "  4,0   "
Самовывоз из пункта выдачи     ,     10451236, 10/1/2022           , old    , 2 646      , 662  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451241, 10/1/2022           , old    , 1 976      , 494  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451242, 10/1/2022           , old    , 2 117      , 706  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451244, 10/1/2022           , old    , 3 095      , 619  , "  5,0   "
Самовывоз из пункта выдачи     ,     10451250, 10/1/2022           , old    , 2 398      , 1 199, "  2,0   "
Самовывоз из пункта выдачи     ,     10451251, 10/1/2022           , old    , 2 021      , 404  , "  5,0   "
Самовывоз из пункта выдачи     ,     10451252, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз из пункта выдачи     ,     10451253, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
Самовывоз из пункта выдачи     ,     10451253, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз из пункта выдачи     ,     10451259, 10/1/2022           , old    , 2 158      , 540  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451260, 10/1/2022           , old    , 2 597      , 866  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451260, 10/1/2022           , old    , 608        , 304  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451260, 10/1/2022           , old    , 2 851      , 570  , "  5,0   "
Самовывоз из пункта выдачи     ,     10451261, 10/1/2022           , old    , 3 998      , 1 999, "  2,0   "
Самовывоз из пункта выдачи     ,     10451261, 10/1/2022           , old    , 1 858      , 929  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451261, 10/1/2022           , old    , 758        , 379  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451262, 10/1/2022           , old    , 2 048      , 1 024, "  2,0   "
Самовывоз из пункта выдачи     ,     10451263, 10/1/2022           , old    , 2 027      , 676  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451263, 10/1/2022           , old    , 5 994      , 999  , "  6,0   "
Самовывоз из пункта выдачи     ,     10451270, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
Самовывоз из пункта выдачи     ,     10451273, 10/1/2022           , old    , 1 058      , 529  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451274, 10/1/2022           , old    , 2 378      , 1 189, "  2,0   "
Самовывоз из пункта выдачи     ,     10451274, 10/1/2022           , old    , 3 597      , 600  , "  6,0   "
Самовывоз из пункта выдачи     ,     10451279, 10/1/2022           , old    , 2 496      , 624  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451280, 10/1/2022           , old    , 2 298      , 766  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451280, 10/1/2022           , old    , 1 882      , 314  , "  6,0   "
Самовывоз из пункта выдачи     ,     10451281, 10/1/2022           , old    , 1 458      , 729  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451281, 10/1/2022           , old    , 1 457      , 486  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451283, 10/1/2022           , old    , 2 799      , 2 799, "  1,0   "
Самовывоз из пункта выдачи     ,     10451283, 10/1/2022           , old    , 4 171      , 1 043, "  4,0   "
Самовывоз из пункта выдачи     ,     10451287, 10/1/2022           , old    , 2 548      , 1 274, "  2,0   "
Самовывоз из пункта выдачи     ,     10451287, 10/1/2022           , old    , 1 757      , 586  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451291, 10/1/2022           , old    , 5 598      , 2 799, "  2,0   "
Самовывоз из пункта выдачи     ,     10451298, 10/1/2022           , old    , 3 098      , 1 549, "  2,0   "
Самовывоз из пункта выдачи     ,     10451298, 10/1/2022           , old    , 1 207      , 402  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451300, 10/1/2022           , old    , 2 799      , 2 799, "  1,0   "
Самовывоз из пункта выдачи     ,     10451300, 10/1/2022           , old    , 958        , 479  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451301, 10/1/2022           , old    , 958        , 479  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451308, 10/1/2022           , old    , 2 007      , 669  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451311, 10/1/2022           , old    , 1 157      , 386  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451311, 10/1/2022           , old    , 3 398      , 1 699, "  2,0   "
Самовывоз из пункта выдачи     ,     10451319, 10/1/2022           , old    , 4 398      , 2 199, "  2,0   "
Самовывоз из пункта выдачи     ,     10451328, 10/1/2022           , old    , 2 158      , 1 079, "  2,0   "
Самовывоз из пункта выдачи     ,     10451329, 10/1/2022           , old    , 2 617      , 872  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451329, 10/1/2022           , old    , 858        , 429  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451331, 10/1/2022           , old    , 2 628      , 329  , "  8,0   "
Самовывоз из пункта выдачи     ,     10451332, 10/1/2022           , old    , 5 598      , 2 799, "  2,0   "
Самовывоз из пункта выдачи     ,     10451338, 10/1/2022           , old    , 2 097      , 419  , "  5,0   "
Самовывоз из пункта выдачи     ,     10451338, 10/1/2022           , old    , 1 557      , 519  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451339, 10/1/2022           , old    , 1 706      , 427  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451347, 10/1/2022           , old    , 1 996      , 499  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451349, 10/1/2022           , old    , 958        , 479  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451349, 10/1/2022           , old    , 2 046      , 512  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451350, 10/1/2022           , old    , 1 558      , 519  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451368, 10/1/2022           , old    , 1 108      , 369  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451369, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз из пункта выдачи     ,     10451370, 10/1/2022           , old    , 1 158      , 579  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451377, 10/1/2022           , old    , 2 798      , 1 399, "  2,0   "
Самовывоз из пункта выдачи     ,     10451378, 10/1/2022           , old    , 2 158      , 1 079, "  2,0   "
Самовывоз из пункта выдачи     ,     10451380, 10/1/2022           , old    , 1 357      , 452  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451388, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз из пункта выдачи     ,     10451389, 10/1/2022           , old    , 3 062      , 383  , "  8,0   "
Самовывоз из пункта выдачи     ,     10451397, 10/1/2022           , old    , 1 058      , 529  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451417, 10/1/2022           , old    , 4 198      , 2 099, "  2,0   "
Самовывоз из пункта выдачи     ,     10451418, 10/1/2022           , old    , 2 466      , 617  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451418, 10/1/2022           , old    , 858        , 429  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451420, 10/1/2022           , old    , 2 000      , 1 000, "  2,0   "
Самовывоз из пункта выдачи     ,     10451437, 10/1/2022           , old    , 4 798      , 2 399, "  2,0   "
Самовывоз из пункта выдачи     ,     10451439, 10/1/2022           , old    , 3 398      , 1 699, "  2,0   "
Самовывоз из пункта выдачи     ,     10451439, 10/1/2022           , old    , 1 357      , 452  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451448, 10/1/2022           , old    , 1 357      , 452  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451448, 10/1/2022           , old    , 5 143      , 735  , "  7,0   "
Самовывоз из пункта выдачи     ,     10451448, 10/1/2022           , old    , 9 042      , 1 130, "  8,0   "
Самовывоз из пункта выдачи     ,     10451449, 10/1/2022           , old    , 2 881      , 480  , "  6,0   "
Самовывоз из пункта выдачи     ,     10451458, 10/1/2022           , old    , 1 058      , 529  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451459, 10/1/2022           , old    , 2 298      , 1 149, "  2,0   "
Самовывоз из пункта выдачи     ,     10451468, 10/1/2022           , old    , 2 897      , 966  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451468, 10/1/2022           , old    , 2 999      , 2 999, "  1,0   "
Самовывоз из пункта выдачи     ,     10451477, 10/1/2022           , old    , 2 847      , 949  , "  3,0   "
Самовывоз из пункта выдачи     ,     10451478, 10/1/2022           , old    , 1 008      , 504  , "  2,0   "
Самовывоз из пункта выдачи     ,     10451478, 10/1/2022           , old    , 2 398      , 1 199, "  2,0   "
Самовывоз из пункта выдачи     ,     10451479, 10/1/2022           , old    , 1 606      , 402  , "  4,0   "
Самовывоз из пункта выдачи     ,     10451507, 10/1/2022           , old    , 1 857      , 619  , "  3,0   "
Самовывоз с примеркой в магазин,     10451063, 10/1/2022           , old    , 1 199      , 1 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451065, 10/1/2022           , old    , 1 249      , 1 249, "  1,0   "
Самовывоз с примеркой в магазин,     10451086, 10/1/2022           , old    , 10 294     , 1 716, "  6,0   "
Самовывоз с примеркой в магазин,     10451096, 10/1/2022           , old    , 549        , 549  , "  1,0   "
Самовывоз с примеркой в магазин,     10451096, 10/1/2022           , old    , 799        , 799  , "  1,0   "
Самовывоз с примеркой в магазин,     10451106, 10/1/2022           , old    , 698        , 349  , "  2,0   "
Самовывоз с примеркой в магазин,     10451147, 10/1/2022           , old    , 3 299      , 3 299, "  1,0   "
Самовывоз с примеркой в магазин,     10451147, 10/1/2022           , old    , 1 359      , 1 359, "  1,0   "
Самовывоз с примеркой в магазин,     10451155, 10/1/2022           , old    , 2 198      , 1 099, "  2,0   "
Самовывоз с примеркой в магазин,     10451155, 10/1/2022           , old    , 938        , 469  , "  2,0   "
Самовывоз с примеркой в магазин,     10451167, 10/1/2022           , old    , 699        , 699  , "  1,0   "
Самовывоз с примеркой в магазин,     10451175, 10/1/2022           , old    , 559        , 559  , "  1,0   "
Самовывоз с примеркой в магазин,     10451185, 10/1/2022           , old    , 2 846      , 712  , "  4,0   "
Самовывоз с примеркой в магазин,     10451186, 10/1/2022           , old    , 599        , 599  , "  1,0   "
Самовывоз с примеркой в магазин,     10451215, 10/1/2022           , old    , 1 398      , 699  , "  2,0   "
Самовывоз с примеркой в магазин,     10451217, 10/1/2022           , old    , 1 048      , 524  , "  2,0   "
Самовывоз с примеркой в магазин,     10451224, 10/1/2022           , old    , 1 599      , 1 599, "  1,0   "
Самовывоз с примеркой в магазин,     10451233, 10/1/2022           , old    , 999        , 999  , "  1,0   "
Самовывоз с примеркой в магазин,     10451236, 10/1/2022           , old    , 978        , 489  , "  2,0   "
Самовывоз с примеркой в магазин,     10451242, 10/1/2022           , old    , 1 599      , 1 599, "  1,0   "
Самовывоз с примеркой в магазин,     10451242, 10/1/2022           , old    , 648        , 324  , "  2,0   "
Самовывоз с примеркой в магазин,     10451242, 10/1/2022           , old    , 1 319      , 1 319, "  1,0   "
Самовывоз с примеркой в магазин,     10451243, 10/1/2022           , old    , 1 919      , 1 919, "  1,0   "
Самовывоз с примеркой в магазин,     10451250, 10/1/2022           , old    , 2 650      , 2 650, "  1,0   "
Самовывоз с примеркой в магазин,     10451250, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз с примеркой в магазин,     10451251, 10/1/2022           , old    , 1 399      , 1 399, "  1,0   "
Самовывоз с примеркой в магазин,     10451259, 10/1/2022           , old    , 799        , 799  , "  1,0   "
Самовывоз с примеркой в магазин,     10451260, 10/1/2022           , old    , 849        , 849  , "  1,0   "
Самовывоз с примеркой в магазин,     10451260, 10/1/2022           , old    , 879        , 879  , "  1,0   "
Самовывоз с примеркой в магазин,     10451263, 10/1/2022           , old    , 1 199      , 1 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451263, 10/1/2022           , old    , 4 555      , 911  , "  5,0   "
Самовывоз с примеркой в магазин,     10451270, 10/1/2022           , old    , 1 799      , 1 799, "  1,0   "
Самовывоз с примеркой в магазин,     10451273, 10/1/2022           , old    , 769        , 769  , "  1,0   "
Самовывоз с примеркой в магазин,     10451273, 10/1/2022           , old    , 2 316      , 579  , "  4,0   "
Самовывоз с примеркой в магазин,     10451273, 10/1/2022           , old    , 349        , 349  , "  1,0   "
Самовывоз с примеркой в магазин,     10451280, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451281, 10/1/2022           , old    , 2 799      , 2 799, "  1,0   "
Самовывоз с примеркой в магазин,     10451282, 10/1/2022           , old    , 1 199      , 1 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451282, 10/1/2022           , old    , 2 799      , 2 799, "  1,0   "
Самовывоз с примеркой в магазин,     10451287, 10/1/2022           , old    , 2 639      , 2 639, "  1,0   "
Самовывоз с примеркой в магазин,     10451288, 10/1/2022           , old    , 961        , 961  , "  1,0   "
Самовывоз с примеркой в магазин,     10451289, 10/1/2022           , old    , 699        , 699  , "  1,0   "
Самовывоз с примеркой в магазин,     10451289, 10/1/2022           , old    , 2 239      , 2 239, "  1,0   "
Самовывоз с примеркой в магазин,     10451298, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз с примеркой в магазин,     10451301, 10/1/2022           , old    , 2 999      , 2 999, "  1,0   "
Самовывоз с примеркой в магазин,     10451307, 10/1/2022           , old    , 1 797      , 599  , "  3,0   "
Самовывоз с примеркой в магазин,     10451307, 10/1/2022           , old    , 5 197      , 1 732, "  3,0   "
Самовывоз с примеркой в магазин,     10451308, 10/1/2022           , old    , 349        , 349  , "  1,0   "
Самовывоз с примеркой в магазин,     10451309, 10/1/2022           , old    , 559        , 559  , "  1,0   "
Самовывоз с примеркой в магазин,     10451309, 10/1/2022           , old    , 2 249      , 2 249, "  1,0   "
Самовывоз с примеркой в магазин,     10451309, 10/1/2022           , old    , 1 199      , 1 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451311, 10/1/2022           , old    , 3 313      , 1 657, "  2,0   "
Самовывоз с примеркой в магазин,     10451318, 10/1/2022           , old    , 5 523      , 1 381, "  4,0   "
Самовывоз с примеркой в магазин,     10451319, 10/1/2022           , old    , 2 399      , 2 399, "  1,0   "
Самовывоз с примеркой в магазин,     10451319, 10/1/2022           , old    , 1 399      , 1 399, "  1,0   "
Самовывоз с примеркой в магазин,     10451321, 10/1/2022           , old    , 1 499      , 1 499, "  1,0   "
Самовывоз с примеркой в магазин,     10451329, 10/1/2022           , old    , 699        , 699  , "  1,0   "
Самовывоз с примеркой в магазин,     10451329, 10/1/2022           , old    , 3 598      , 1 799, "  2,0   "
Самовывоз с примеркой в магазин,     10451331, 10/1/2022           , old    , 879        , 879  , "  1,0   "
Самовывоз с примеркой в магазин,     10451331, 10/1/2022           , old    , 2 398      , 1 199, "  2,0   "
Самовывоз с примеркой в магазин,     10451331, 10/1/2022           , old    , 549        , 549  , "  1,0   "
Самовывоз с примеркой в магазин,     10451337, 10/1/2022           , old    , 899        , 899  , "  1,0   "
Самовывоз с примеркой в магазин,     10451340, 10/1/2022           , old    , 399        , 399  , "  1,0   "
Самовывоз с примеркой в магазин,     10451349, 10/1/2022           , old    , 2 049      , 2 049, "  1,0   "
Самовывоз с примеркой в магазин,     10451349, 10/1/2022           , old    , 1 797      , 599  , "  3,0   "
Самовывоз с примеркой в магазин,     10451350, 10/1/2022           , old    , 2 598      , 1 299, "  2,0   "
Самовывоз с примеркой в магазин,     10451350, 10/1/2022           , old    , 699        , 699  , "  1,0   "
Самовывоз с примеркой в магазин,     10451350, 10/1/2022           , old    , 5 198      , 2 599, "  2,0   "
Самовывоз с примеркой в магазин,     10451351, 10/1/2022           , old    , 399        , 399  , "  1,0   "
Самовывоз с примеркой в магазин,     10451351, 10/1/2022           , old    , 2 199      , 2 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451357, 10/1/2022           , old    , 2 499      , 2 499, "  1,0   "
Самовывоз с примеркой в магазин,     10451358, 10/1/2022           , old    , 2 199      , 2 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451359, 10/1/2022           , old    , 959        , 959  , "  1,0   "
Самовывоз с примеркой в магазин,     10451367, 10/1/2022           , old    , 3 699      , 3 699, "  1,0   "
Самовывоз с примеркой в магазин,     10451369, 10/1/2022           , old    , 799        , 799  , "  1,0   "
Самовывоз с примеркой в магазин,     10451397, 10/1/2022           , old    , 2 199      , 2 199, "  1,0   "
Самовывоз с примеркой в магазин,     10451408, 10/1/2022           , old    , 2 798      , 1 399, "  2,0   "
Самовывоз с примеркой в магазин,     10451409, 10/1/2022           , old    , 3 597      , 1 199, "  3,0   "
Самовывоз с примеркой в магазин,     10451417, 10/1/2022           , old    , 379        , 379  , "  1,0   "
Самовывоз с примеркой в магазин,     10451417, 10/1/2022           , old    , 2 239      , 2 239, "  1,0   "
Самовывоз с примеркой в магазин,     10451419, 10/1/2022           , old    , 2 499      , 2 499, "  1,0   "
Самовывоз с примеркой в магазин,     10451427, 10/1/2022           , old    , 1 598      , 799  , "  2,0   "
Самовывоз с примеркой в магазин,     10451428, 10/1/2022           , old    , 2 897      , 966  , "  3,0   "
Самовывоз с примеркой в магазин,     10451428, 10/1/2022           , old    , 2 039      , 2 039, "  1,0   "
Самовывоз с примеркой в магазин,     10451428, 10/1/2022           , old    , 1 699      , 1 699, "  1,0   "
Самовывоз с примеркой в магазин,     10451439, 10/1/2022           , old    , 2 397      , 799  , "  3,0   "
Самовывоз с примеркой в магазин,     10451479, 10/1/2022           , old    , 2 698      , 1 349, "  2,0   "
Самовывоз с примеркой в магазин,     10451488, 10/1/2022           , old    , 1 199      , 1 199, "  1,0   "
"Самовывоз, доставка в магазин",     10451037, 10/1/2022           , old    , 2 114      , 705  , "  3,0   "
"Самовывоз, доставка в магазин",     10451047, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
"Самовывоз, доставка в магазин",     10451145, 10/1/2022           , old    , 1 948      , 649  , "  3,0   "
"Самовывоз, доставка в магазин",     10451146, 10/1/2022           , old    , 4 400      , 880  , "  5,0   "
"Самовывоз, доставка в магазин",     10451147, 10/1/2022           , old    , 2 199      , 2 199, "  1,0   "
"Самовывоз, доставка в магазин",     10451175, 10/1/2022           , old    , 799        , 799  , "  1,0   "
"Самовывоз, доставка в магазин",     10451196, 10/1/2022           , old    , 2 497      , 832  , "  3,0   "
"Самовывоз, доставка в магазин",     10451196, 10/1/2022           , old    , 959        , 959  , "  1,0   "
"Самовывоз, доставка в магазин",     10451227, 10/1/2022           , old    , 1 698      , 566  , "  3,0   "
"Самовывоз, доставка в магазин",     10451236, 10/1/2022           , old    , 2 998      , 1 499, "  2,0   "
"Самовывоз, доставка в магазин",     10451236, 10/1/2022           , old    , 2 997      , 999  , "  3,0   "
"Самовывоз, доставка в магазин",     10451259, 10/1/2022           , old    , 999        , 999  , "  1,0   "
"Самовывоз, доставка в магазин",     10451274, 10/1/2022           , old    , 3 199      , 3 199, "  1,0   "
"Самовывоз, доставка в магазин",     10451280, 10/1/2022           , old    , 1 499      , 1 499, "  1,0   "
"Самовывоз, доставка в магазин",     10451320, 10/1/2022           , old    , 1 399      , 1 399, "  1,0   "
"Самовывоз, доставка в магазин",     10451339, 10/1/2022           , old    , 2 246      , 562  , "  4,0   "
"Самовывоз, доставка в магазин",     10451358, 10/1/2022           , old    , 799        , 799  , "  1,0   "
"Самовывоз, доставка в магазин",     10451359, 10/1/2022           , old    , 1 198      , 599  , "  2,0   "
